NAME,CATEGORY,PHONE,WEBSITE,ADDRESS_FULL,POSTAL_CODE,CITY,WARD,ATTRACTION Description,geometry Coords
Casa Loma,Attraction,416-923-1171,https://casaloma.ca/,1 Austin Ter,M5R 1X8,Toronto,Toronto-St. Paul's,"Canadas foremost castle is complete with decorated suites, secret passages, an 800-foot tunnel, towers, stables, and beautiful 5-acre estate gardens.","(-79.4094439,43.6780371)"
CN Tower,Attraction,416-868-6937,http://www.cntower.ca/,290 Bremner Blvd,M5V 3L9,Toronto,Spadina-Fort York,"The CN Tower is an engineering marvel and one of the city's most visited sites. It features the world's highest wine cellar, a fine dining revolving restaurant (360), a glass floor. For the true adventure seeker, the Edge walk.","(-79.3868547,43.6426283)"
Hockey Hall of Fame,Attraction,416-360-7765,https://www.hhof.com/,30 Yonge St,M5E 1X8,Toronto,Toronto Centre,"Unique to Toronto, and featuring the Stanley Cup, interactive exhibits, shows, and the finest collection of hockey artifacts in the world.","(-79.3774083,43.6469702)"
Polson Pier,Attraction,416-469-5655,https://www.polsonpier.com/,11 Polson St,M5A 1A4,Toronto,Toronto-Danforth,"Located on the water, the Polson Pier is a waterfront property that includes a drive-in cinema, patio bar, concert venues, and much more.","( -79.35339364500337,43.64098574935192)"
Ripley's Aquarium of Canada,Attraction,647-351-3474,https://www.ripleyaquariums.com/canada/,288 Bremner Blvd,M5V 3L9,Toronto,Spadina-Fort York,"Canadas largest aquarium. Interactive attractions feature over 5.7 million litres of water and more than 16,000 marine animals.","(-79.38597159999999,43.6424036)"
Riverdale Farm,Attraction,416-392-6794,http://riverdalefarmtoronto.ca/,201 Winchester St,M4X 1B8,Toronto,Toronto Centre,"On 7.5 acres, Riverdale Farm is an historic working farm with many scenic pathways and farm animals.","(-79.36105390000002,43.6672162)"
St. Lawrence Market and Market Gallery,Attraction,416-392-7219,http://www.stlawrencemarket.com/,93 Front St E,M5E 1C3,Toronto,Toronto Centre,"Voted best fresh food market in the world by National Geographic in 2012, Torontos historic and premier market also includes The Market Gallery, housed within part of Torontos original 19th century City Hall.","(-79.3717226,43.6489232)"
The Distillery Historic District,Attraction,416-203-0405,http://www.centreisland.ca/,"55 Mill St, Toronto", ,Toronto,Spadina-Fort York,"A collection of boutiques, galleries, cafes and restaurants takes the place of a former distillery.","(-79.3874645,43.6575644)"
Toronto Sign,Attraction,647-697-0859,https://steamwhistle.ca/,100 Queen St W,M5V 3M9,Toronto,Spadina-Fort York,"10 foot tall, light up letters that spell Toronto set against a city-skyline backdrop.","( -79.38354639423423,43.65261629979745)"
Cineplex Cinemas Varsity and VIP,Cinema,(416) 961-6304,https://www.cineplex.com/theatre/cineplex-cinemas-varsity-and-vip,55 Bloor St W,M4W 1A5,Toronto,Bloor ,"Modern multiplex cinema chain screening the latest Hollywood films, plus new independent releases.","(-79.3881303,43.6691789)"
